REGION,TECHNOLOGY,YEAR,VALUE
EL53,Ag_Dimitriou_I,2023,42.36611974
EL53,Ag_Dimitriou_I,2025,42.36611974
EL53,Ag_Dimitriou_I,2030,42.36611974
EL53,Ag_Dimitriou_I,2035,42.36611974
EL53,Ag_Dimitriou_I,2040,42.36611974
EL53,Ag_Dimitriou_I,2045,42.36611974
EL53,Ag_Dimitriou_I,2050,42.36611974
EL53,Ag_Dimitriou_II,2023,42.59028809
EL53,Ag_Dimitriou_II,2025,42.59028809
EL53,Ag_Dimitriou_II,2030,42.59028809
EL53,Ag_Dimitriou_II,2035,42.59028809
EL53,Ag_Dimitriou_II,2040,42.59028809
EL53,Ag_Dimitriou_II,2045,42.59028809
EL53,Ag_Dimitriou_II,2050,42.59028809
EL53,Ag_Dimitriou_III,2023,47.31844222
EL53,Ag_Dimitriou_III,2025,47.31844222
EL53,Ag_Dimitriou_III,2030,47.31844222
EL53,Ag_Dimitriou_III,2035,47.31844222
EL53,Ag_Dimitriou_III,2040,47.31844222
EL53,Ag_Dimitriou_III,2045,47.31844222
EL53,Ag_Dimitriou_III,2050,47.31844222
EL53,Ag_Dimitriou_IV,2023,42.51038644
EL53,Ag_Dimitriou_IV,2025,42.51038644
EL53,Ag_Dimitriou_IV,2030,42.51038644
EL53,Ag_Dimitriou_IV,2035,42.51038644
EL53,Ag_Dimitriou_IV,2040,42.51038644
EL53,Ag_Dimitriou_IV,2045,42.51038644
EL53,Ag_Dimitriou_IV,2050,42.51038644
EL53,Ag_Dimitriou_V,2023,42.2156215
EL53,Ag_Dimitriou_V,2025,42.2156215
EL53,Ag_Dimitriou_V,2030,42.2156215
EL53,Ag_Dimitriou_V,2035,42.2156215
EL53,Ag_Dimitriou_V,2040,42.2156215
EL53,Ag_Dimitriou_V,2045,42.2156215
EL53,Ag_Dimitriou_V,2050,42.2156215
EL52,Agra,2023,60
EL52,Agra,2025,60
EL52,Agra,2030,60
EL52,Agra,2035,60
EL52,Agra,2040,60
EL52,Agra,2045,60
EL52,Agra,2050,60
EL64,AIS_Aliveriou,2023,27.51716414
EL64,AIS_Aliveriou,2025,27.51716414
EL64,AIS_Aliveriou,2030,27.51716414
EL64,AIS_Aliveriou,2035,27.51716414
EL64,AIS_Aliveriou,2040,27.51716414
EL64,AIS_Aliveriou,2045,27.51716414
EL64,AIS_Aliveriou,2050,27.51716414
EL51,AIS_Komotinis,2023,27.44428507
EL51,AIS_Komotinis,2025,27.44428507
EL51,AIS_Komotinis,2030,27.44428507
EL51,AIS_Komotinis,2035,27.44428507
EL51,AIS_Komotinis,2040,27.44428507
EL51,AIS_Komotinis,2045,27.44428507
EL51,AIS_Komotinis,2050,27.44428507
EL30,AIS_Lavriou_IV,2023,27.4298696
EL30,AIS_Lavriou_IV,2025,27.4298696
EL30,AIS_Lavriou_IV,2030,27.4298696
EL30,AIS_Lavriou_IV,2035,27.4298696
EL30,AIS_Lavriou_IV,2040,27.4298696
EL30,AIS_Lavriou_IV,2045,27.4298696
EL30,AIS_Lavriou_IV,2050,27.4298696
EL30,AIS_Lavriou_V,2023,27.35031735
EL30,AIS_Lavriou_V,2025,27.35031735
EL30,AIS_Lavriou_V,2030,27.35031735
EL30,AIS_Lavriou_V,2035,27.35031735
EL30,AIS_Lavriou_V,2040,27.35031735
EL30,AIS_Lavriou_V,2045,27.35031735
EL30,AIS_Lavriou_V,2050,27.35031735
EL65,AIS_Megalopoli_V,2023,25
EL65,AIS_Megalopoli_V,2025,25
EL65,AIS_Megalopoli_V,2030,25
EL65,AIS_Megalopoli_V,2035,25
EL65,AIS_Megalopoli_V,2040,25
EL65,AIS_Megalopoli_V,2045,25
EL65,AIS_Megalopoli_V,2050,25
EL64,Alouminion,2023,28.71563384
EL64,Alouminion,2025,28.71563384
EL64,Alouminion,2030,28.71563384
EL64,Alouminion,2035,28.71563384
EL64,Alouminion,2040,28.71563384
EL64,Alouminion,2045,28.71563384
EL64,Alouminion,2050,28.71563384
EL52,Asomaton,2023,60
EL52,Asomaton,2025,60
EL52,Asomaton,2030,60
EL52,Asomaton,2035,60
EL52,Asomaton,2040,60
EL52,Asomaton,2045,60
EL52,Asomaton,2050,60
Crete,Atherinolakos,2023,36.8
Crete,Atherinolakos,2025,36.8
Crete,Atherinolakos,2030,36.8
Crete,Atherinolakos,2035,36.8
Crete,Atherinolakos,2040,36.8
Crete,Atherinolakos,2045,36.8
Crete,Atherinolakos,2050,36.8
Crete,Atherinolakos_Diesel,2023,17.06
Crete,Atherinolakos_Diesel,2025,17.06
Crete,Atherinolakos_Diesel,2030,17.06
Crete,Atherinolakos_Diesel,2035,17.06
Crete,Atherinolakos_Diesel,2040,17.06
Crete,Atherinolakos_Diesel,2045,17.06
Crete,Atherinolakos_Diesel,2050,17.06
EL51,Thisavros,2023,21.43617021
EL51,Thisavros,2025,21.43617021
EL51,Thisavros,2030,21.43617021
EL51,Thisavros,2035,21.43617021
EL51,Thisavros,2040,21.43617021
EL51,Thisavros,2045,21.43617021
EL51,Thisavros,2050,21.43617021
EL52,Sfikia,2023,21.43617021
EL52,Sfikia,2025,21.43617021
EL52,Sfikia,2030,21.43617021
EL52,Sfikia,2035,21.43617021
EL52,Sfikia,2040,21.43617021
EL52,Sfikia,2045,21.43617021
EL52,Sfikia,2050,21.43617021
EL51,Batteries_New,2023,47.674
EL51,Batteries_New,2025,38.77678245
EL51,Batteries_New,2030,32.50381849
EL51,Batteries_New,2035,29.99742405
EL51,Batteries_New,2040,27.4914878
EL51,Batteries_New,2045,24.9861155
EL51,Batteries_New,2050,22.48144811
EL51,Biomass,2023,84.375
EL51,Biomass,2025,83.125
EL51,Biomass,2030,80
EL51,Biomass,2035,80
EL51,Biomass,2040,80
EL51,Biomass,2045,80
EL51,Biomass,2050,80
EL51,Biomass_CCS,2023,201.875
EL51,Biomass_CCS,2025,195.625
EL51,Biomass_CCS,2030,180
EL51,Biomass_CCS,2035,171.25
EL51,Biomass_CCS,2040,162.5
EL51,Biomass_CCS,2045,153.75
EL51,Biomass_CCS,2050,145
EL51,Biomass_Ex,2023,84.375
EL51,Biomass_Ex,2025,83.125
EL51,Biomass_Ex,2030,80
EL51,Biomass_Ex,2035,80
EL51,Biomass_Ex,2040,80
EL51,Biomass_Ex,2045,80
EL51,Biomass_Ex,2050,80
EL51,CCGT,2023,25
EL51,CCGT,2025,25
EL51,CCGT,2030,25
EL51,CCGT,2035,25
EL51,CCGT,2040,25
EL51,CCGT,2045,25
EL51,CCGT,2050,25
EL52,Batteries_New,2023,47.674
EL52,Batteries_New,2025,38.77678245
EL52,Batteries_New,2030,32.50381849
EL52,Batteries_New,2035,29.99742405
EL52,Batteries_New,2040,27.4914878
EL52,Batteries_New,2045,24.9861155
EL52,Batteries_New,2050,22.48144811
EL52,Biomass,2023,84.375
EL52,Biomass,2025,83.125
EL52,Biomass,2030,80
EL52,Biomass,2035,80
EL52,Biomass,2040,80
EL52,Biomass,2045,80
EL52,Biomass,2050,80
EL52,Biomass_CCS,2023,201.875
EL52,Biomass_CCS,2025,195.625
EL52,Biomass_CCS,2030,180
EL52,Biomass_CCS,2035,171.25
EL52,Biomass_CCS,2040,162.5
EL52,Biomass_CCS,2045,153.75
EL52,Biomass_CCS,2050,145
EL52,Biomass_Ex,2023,84.375
EL52,Biomass_Ex,2025,83.125
EL52,Biomass_Ex,2030,80
EL52,Biomass_Ex,2035,80
EL52,Biomass_Ex,2040,80
EL52,Biomass_Ex,2045,80
EL52,Biomass_Ex,2050,80
EL52,CCGT,2023,25
EL52,CCGT,2025,25
EL52,CCGT,2030,25
EL52,CCGT,2035,25
EL52,CCGT,2040,25
EL52,CCGT,2045,25
EL52,CCGT,2050,25
EL53,Batteries_New,2023,47.674
EL53,Batteries_New,2025,38.77678245
EL53,Batteries_New,2030,32.50381849
EL53,Batteries_New,2035,29.99742405
EL53,Batteries_New,2040,27.4914878
EL53,Batteries_New,2045,24.9861155
EL53,Batteries_New,2050,22.48144811
EL53,Biomass,2023,84.375
EL53,Biomass,2025,83.125
EL53,Biomass,2030,80
EL53,Biomass,2035,80
EL53,Biomass,2040,80
EL53,Biomass,2045,80
EL53,Biomass,2050,80
EL53,Biomass_CCS,2023,201.875
EL53,Biomass_CCS,2025,195.625
EL53,Biomass_CCS,2030,180
EL53,Biomass_CCS,2035,171.25
EL53,Biomass_CCS,2040,162.5
EL53,Biomass_CCS,2045,153.75
EL53,Biomass_CCS,2050,145
EL53,Biomass_Ex,2023,84.375
EL53,Biomass_Ex,2025,83.125
EL53,Biomass_Ex,2030,80
EL53,Biomass_Ex,2035,80
EL53,Biomass_Ex,2040,80
EL53,Biomass_Ex,2045,80
EL53,Biomass_Ex,2050,80
EL53,CCGT,2023,25
EL53,CCGT,2025,25
EL53,CCGT,2030,25
EL53,CCGT,2035,25
EL53,CCGT,2040,25
EL53,CCGT,2045,25
EL53,CCGT,2050,25
EL54,Batteries_New,2023,47.674
EL54,Batteries_New,2025,38.77678245
EL54,Batteries_New,2030,32.50381849
EL54,Batteries_New,2035,29.99742405
EL54,Batteries_New,2040,27.4914878
EL54,Batteries_New,2045,24.9861155
EL54,Batteries_New,2050,22.48144811
EL54,Biomass,2023,84.375
EL54,Biomass,2025,83.125
EL54,Biomass,2030,80
EL54,Biomass,2035,80
EL54,Biomass,2040,80
EL54,Biomass,2045,80
EL54,Biomass,2050,80
EL54,Biomass_CCS,2023,201.875
EL54,Biomass_CCS,2025,195.625
EL54,Biomass_CCS,2030,180
EL54,Biomass_CCS,2035,171.25
EL54,Biomass_CCS,2040,162.5
EL54,Biomass_CCS,2045,153.75
EL54,Biomass_CCS,2050,145
EL54,Biomass_Ex,2023,84.375
EL54,Biomass_Ex,2025,83.125
EL54,Biomass_Ex,2030,80
EL54,Biomass_Ex,2035,80
EL54,Biomass_Ex,2040,80
EL54,Biomass_Ex,2045,80
EL54,Biomass_Ex,2050,80
EL54,CCGT,2023,25
EL54,CCGT,2025,25
EL54,CCGT,2030,25
EL54,CCGT,2035,25
EL54,CCGT,2040,25
EL54,CCGT,2045,25
EL54,CCGT,2050,25
EL61,Batteries_New,2023,47.674
EL61,Batteries_New,2025,38.77678245
EL61,Batteries_New,2030,32.50381849
EL61,Batteries_New,2035,29.99742405
EL61,Batteries_New,2040,27.4914878
EL61,Batteries_New,2045,24.9861155
EL61,Batteries_New,2050,22.48144811
EL61,Biomass,2023,84.375
EL61,Biomass,2025,83.125
EL61,Biomass,2030,80
EL61,Biomass,2035,80
EL61,Biomass,2040,80
EL61,Biomass,2045,80
EL61,Biomass,2050,80
EL61,Biomass_CCS,2023,201.875
EL61,Biomass_CCS,2025,195.625
EL61,Biomass_CCS,2030,180
EL61,Biomass_CCS,2035,171.25
EL61,Biomass_CCS,2040,162.5
EL61,Biomass_CCS,2045,153.75
EL61,Biomass_CCS,2050,145
EL61,Biomass_Ex,2023,84.375
EL61,Biomass_Ex,2025,83.125
EL61,Biomass_Ex,2030,80
EL61,Biomass_Ex,2035,80
EL61,Biomass_Ex,2040,80
EL61,Biomass_Ex,2045,80
EL61,Biomass_Ex,2050,80
EL61,CCGT,2023,25
EL61,CCGT,2025,25
EL61,CCGT,2030,25
EL61,CCGT,2035,25
EL61,CCGT,2040,25
EL61,CCGT,2045,25
EL61,CCGT,2050,25
EL62,Batteries_New,2023,47.674
EL62,Batteries_New,2025,38.77678245
EL62,Batteries_New,2030,32.50381849
EL62,Batteries_New,2035,29.99742405
EL62,Batteries_New,2040,27.4914878
EL62,Batteries_New,2045,24.9861155
EL62,Batteries_New,2050,22.48144811
EL62,Biomass,2023,84.375
EL62,Biomass,2025,83.125
EL62,Biomass,2030,80
EL62,Biomass,2035,80
EL62,Biomass,2040,80
EL62,Biomass,2045,80
EL62,Biomass,2050,80
EL62,Biomass_CCS,2023,201.875
EL62,Biomass_CCS,2025,195.625
EL62,Biomass_CCS,2030,180
EL62,Biomass_CCS,2035,171.25
EL62,Biomass_CCS,2040,162.5
EL62,Biomass_CCS,2045,153.75
EL62,Biomass_CCS,2050,145
EL62,Biomass_Ex,2023,84.375
EL62,Biomass_Ex,2025,83.125
EL62,Biomass_Ex,2030,80
EL62,Biomass_Ex,2035,80
EL62,Biomass_Ex,2040,80
EL62,Biomass_Ex,2045,80
EL62,Biomass_Ex,2050,80
EL62,CCGT,2023,25
EL62,CCGT,2025,25
EL62,CCGT,2030,25
EL62,CCGT,2035,25
EL62,CCGT,2040,25
EL62,CCGT,2045,25
EL62,CCGT,2050,25
EL63,Batteries_New,2023,47.674
EL63,Batteries_New,2025,38.77678245
EL63,Batteries_New,2030,32.50381849
EL63,Batteries_New,2035,29.99742405
EL63,Batteries_New,2040,27.4914878
EL63,Batteries_New,2045,24.9861155
EL63,Batteries_New,2050,22.48144811
EL63,Biomass,2023,84.375
EL63,Biomass,2025,83.125
EL63,Biomass,2030,80
EL63,Biomass,2035,80
EL63,Biomass,2040,80
EL63,Biomass,2045,80
EL63,Biomass,2050,80
EL63,Biomass_CCS,2023,201.875
EL63,Biomass_CCS,2025,195.625
EL63,Biomass_CCS,2030,180
EL63,Biomass_CCS,2035,171.25
EL63,Biomass_CCS,2040,162.5
EL63,Biomass_CCS,2045,153.75
EL63,Biomass_CCS,2050,145
EL63,Biomass_Ex,2023,84.375
EL63,Biomass_Ex,2025,83.125
EL63,Biomass_Ex,2030,80
EL63,Biomass_Ex,2035,80
EL63,Biomass_Ex,2040,80
EL63,Biomass_Ex,2045,80
EL63,Biomass_Ex,2050,80
EL63,CCGT,2023,25
EL63,CCGT,2025,25
EL63,CCGT,2030,25
EL63,CCGT,2035,25
EL63,CCGT,2040,25
EL63,CCGT,2045,25
EL63,CCGT,2050,25
EL64,Batteries_New,2023,47.674
EL64,Batteries_New,2025,38.77678245
EL64,Batteries_New,2030,32.50381849
EL64,Batteries_New,2035,29.99742405
EL64,Batteries_New,2040,27.4914878
EL64,Batteries_New,2045,24.9861155
EL64,Batteries_New,2050,22.48144811
EL64,Biomass,2023,84.375
EL64,Biomass,2025,83.125
EL64,Biomass,2030,80
EL64,Biomass,2035,80
EL64,Biomass,2040,80
EL64,Biomass,2045,80
EL64,Biomass,2050,80
EL64,Biomass_CCS,2023,201.875
EL64,Biomass_CCS,2025,195.625
EL64,Biomass_CCS,2030,180
EL64,Biomass_CCS,2035,171.25
EL64,Biomass_CCS,2040,162.5
EL64,Biomass_CCS,2045,153.75
EL64,Biomass_CCS,2050,145
EL64,Biomass_Ex,2023,84.375
EL64,Biomass_Ex,2025,83.125
EL64,Biomass_Ex,2030,80
EL64,Biomass_Ex,2035,80
EL64,Biomass_Ex,2040,80
EL64,Biomass_Ex,2045,80
EL64,Biomass_Ex,2050,80
EL64,CCGT,2023,25
EL64,CCGT,2025,25
EL64,CCGT,2030,25
EL64,CCGT,2035,25
EL64,CCGT,2040,25
EL64,CCGT,2045,25
EL64,CCGT,2050,25
EL30,Batteries_New,2023,47.674
EL30,Batteries_New,2025,38.77678245
EL30,Batteries_New,2030,32.50381849
EL30,Batteries_New,2035,29.99742405
EL30,Batteries_New,2040,27.4914878
EL30,Batteries_New,2045,24.9861155
EL30,Batteries_New,2050,22.48144811
EL30,Biomass,2023,84.375
EL30,Biomass,2025,83.125
EL30,Biomass,2030,80
EL30,Biomass,2035,80
EL30,Biomass,2040,80
EL30,Biomass,2045,80
EL30,Biomass,2050,80
EL30,Biomass_CCS,2023,201.875
EL30,Biomass_CCS,2025,195.625
EL30,Biomass_CCS,2030,180
EL30,Biomass_CCS,2035,171.25
EL30,Biomass_CCS,2040,162.5
EL30,Biomass_CCS,2045,153.75
EL30,Biomass_CCS,2050,145
EL30,Biomass_Ex,2023,84.375
EL30,Biomass_Ex,2025,83.125
EL30,Biomass_Ex,2030,80
EL30,Biomass_Ex,2035,80
EL30,Biomass_Ex,2040,80
EL30,Biomass_Ex,2045,80
EL30,Biomass_Ex,2050,80
EL30,CCGT,2023,25
EL30,CCGT,2025,25
EL30,CCGT,2030,25
EL30,CCGT,2035,25
EL30,CCGT,2040,25
EL30,CCGT,2045,25
EL30,CCGT,2050,25
EL65,Batteries_New,2023,47.674
EL65,Batteries_New,2025,38.77678245
EL65,Batteries_New,2030,32.50381849
EL65,Batteries_New,2035,29.99742405
EL65,Batteries_New,2040,27.4914878
EL65,Batteries_New,2045,24.9861155
EL65,Batteries_New,2050,22.48144811
EL65,Biomass,2023,84.375
EL65,Biomass,2025,83.125
EL65,Biomass,2030,80
EL65,Biomass,2035,80
EL65,Biomass,2040,80
EL65,Biomass,2045,80
EL65,Biomass,2050,80
EL65,Biomass_CCS,2023,201.875
EL65,Biomass_CCS,2025,195.625
EL65,Biomass_CCS,2030,180
EL65,Biomass_CCS,2035,171.25
EL65,Biomass_CCS,2040,162.5
EL65,Biomass_CCS,2045,153.75
EL65,Biomass_CCS,2050,145
EL65,Biomass_Ex,2023,84.375
EL65,Biomass_Ex,2025,83.125
EL65,Biomass_Ex,2030,80
EL65,Biomass_Ex,2035,80
EL65,Biomass_Ex,2040,80
EL65,Biomass_Ex,2045,80
EL65,Biomass_Ex,2050,80
EL65,CCGT,2023,25
EL65,CCGT,2025,25
EL65,CCGT,2030,25
EL65,CCGT,2035,25
EL65,CCGT,2040,25
EL65,CCGT,2045,25
EL65,CCGT,2050,25
CHIOS,Chios,2023,36.81
CHIOS,Chios,2025,36.81
CHIOS,Chios,2030,36.81
CHIOS,Chios,2035,36.81
CHIOS,Chios,2040,36.81
CHIOS,Chios,2045,36.81
CHIOS,Chios,2050,36.81
EL52,Edeseou,2023,60
EL52,Edeseou,2025,60
EL52,Edeseou,2030,60
EL52,Edeseou,2035,60
EL52,Edeseou,2040,60
EL52,Edeseou,2045,60
EL52,Edeseou,2050,60
EL51,Elec_Network,2023,14.77
EL51,Elec_Network,2025,14.77
EL51,Elec_Network,2030,14.77
EL51,Elec_Network,2035,14.77
EL51,Elec_Network,2040,14.77
EL51,Elec_Network,2045,14.77
EL51,Elec_Network,2050,14.77
EL52,Elec_Network,2023,14.77
EL52,Elec_Network,2025,14.77
EL52,Elec_Network,2030,14.77
EL52,Elec_Network,2035,14.77
EL52,Elec_Network,2040,14.77
EL52,Elec_Network,2045,14.77
EL52,Elec_Network,2050,14.77
EL53,Elec_Network,2023,14.77
EL53,Elec_Network,2025,14.77
EL53,Elec_Network,2030,14.77
EL53,Elec_Network,2035,14.77
EL53,Elec_Network,2040,14.77
EL53,Elec_Network,2045,14.77
EL53,Elec_Network,2050,14.77
EL54,Elec_Network,2023,14.77
EL54,Elec_Network,2025,14.77
EL54,Elec_Network,2030,14.77
EL54,Elec_Network,2035,14.77
EL54,Elec_Network,2040,14.77
EL54,Elec_Network,2045,14.77
EL54,Elec_Network,2050,14.77
EL61,Elec_Network,2023,14.77
EL61,Elec_Network,2025,14.77
EL61,Elec_Network,2030,14.77
EL61,Elec_Network,2035,14.77
EL61,Elec_Network,2040,14.77
EL61,Elec_Network,2045,14.77
EL61,Elec_Network,2050,14.77
EL62,Elec_Network,2023,14.77
EL62,Elec_Network,2025,14.77
EL62,Elec_Network,2030,14.77
EL62,Elec_Network,2035,14.77
EL62,Elec_Network,2040,14.77
EL62,Elec_Network,2045,14.77
EL62,Elec_Network,2050,14.77
EL63,Elec_Network,2023,14.77
EL63,Elec_Network,2025,14.77
EL63,Elec_Network,2030,14.77
