REGION,REGION,FUEL,YEAR,VALUE
EL51,EL52,Elec_Transmission,2023,1.7
EL51,EL52,Elec_Transmission,2025,1.734
EL51,EL52,Elec_Transmission,2030,1.819
EL51,EL52,Elec_Transmission,2035,1.904
EL51,EL52,Elec_Transmission,2040,1.989
EL51,EL52,Elec_Transmission,2045,2.074
EL51,EL52,Elec_Transmission,2050,2.159
EL52,EL51,Elec_Transmission,2023,1.7
EL52,EL51,Elec_Transmission,2025,1.734
EL52,EL51,Elec_Transmission,2030,1.819
EL52,EL51,Elec_Transmission,2035,1.904
EL52,EL51,Elec_Transmission,2040,1.989
EL52,EL51,Elec_Transmission,2045,2.074
EL52,EL51,Elec_Transmission,2050,2.159
EL52,EL53,Elec_Transmission,2023,2.4
EL52,EL53,Elec_Transmission,2025,2.448
EL52,EL53,Elec_Transmission,2030,2.568
EL52,EL53,Elec_Transmission,2035,2.688
EL52,EL53,Elec_Transmission,2040,2.808
EL52,EL53,Elec_Transmission,2045,2.928
EL52,EL53,Elec_Transmission,2050,3.048
EL53,EL52,Elec_Transmission,2023,2.4
EL53,EL52,Elec_Transmission,2025,2.448
EL53,EL52,Elec_Transmission,2030,2.568
EL53,EL52,Elec_Transmission,2035,2.688
EL53,EL52,Elec_Transmission,2040,2.808
EL53,EL52,Elec_Transmission,2045,2.928
EL53,EL52,Elec_Transmission,2050,3.048
EL53,EL61,Elec_Transmission,2023,3.6
EL53,EL61,Elec_Transmission,2025,3.672
EL53,EL61,Elec_Transmission,2030,3.852
EL53,EL61,Elec_Transmission,2035,4.032
EL53,EL61,Elec_Transmission,2040,4.212
EL53,EL61,Elec_Transmission,2045,4.392
EL53,EL61,Elec_Transmission,2050,4.572
EL61,EL53,Elec_Transmission,2023,3.6
EL61,EL53,Elec_Transmission,2025,3.672
EL61,EL53,Elec_Transmission,2030,3.852
EL61,EL53,Elec_Transmission,2035,4.032
EL61,EL53,Elec_Transmission,2040,4.212
EL61,EL53,Elec_Transmission,2045,4.392
EL61,EL53,Elec_Transmission,2050,4.572
EL61,EL54,Elec_Transmission,2023,0.5
EL61,EL54,Elec_Transmission,2025,0.51
EL61,EL54,Elec_Transmission,2030,0.535
EL61,EL54,Elec_Transmission,2035,0.56
EL61,EL54,Elec_Transmission,2040,0.585
EL61,EL54,Elec_Transmission,2045,0.61
EL61,EL54,Elec_Transmission,2050,0.635
EL54,EL61,Elec_Transmission,2023,0.5
EL54,EL61,Elec_Transmission,2025,0.51
EL54,EL61,Elec_Transmission,2030,0.535
EL54,EL61,Elec_Transmission,2035,0.56
EL54,EL61,Elec_Transmission,2040,0.585
EL54,EL61,Elec_Transmission,2045,0.61
EL54,EL61,Elec_Transmission,2050,0.635
EL61,EL64,Elec_Transmission,2023,3.6
EL61,EL64,Elec_Transmission,2025,3.672
EL61,EL64,Elec_Transmission,2030,3.852
EL61,EL64,Elec_Transmission,2035,4.032
EL61,EL64,Elec_Transmission,2040,4.212
EL61,EL64,Elec_Transmission,2045,4.392
EL61,EL64,Elec_Transmission,2050,4.572
EL64,EL61,Elec_Transmission,2023,3.6
EL64,EL61,Elec_Transmission,2025,3.672
EL64,EL61,Elec_Transmission,2030,3.852
EL64,EL61,Elec_Transmission,2035,4.032
EL64,EL61,Elec_Transmission,2040,4.212
EL64,EL61,Elec_Transmission,2045,4.392
EL64,EL61,Elec_Transmission,2050,4.572
EL54,EL62,Elec_Transmission,2023,0.45
EL54,EL62,Elec_Transmission,2025,0.459
EL54,EL62,Elec_Transmission,2030,0.4815
EL54,EL62,Elec_Transmission,2035,0.504
EL54,EL62,Elec_Transmission,2040,0.5265
EL54,EL62,Elec_Transmission,2045,0.549
EL54,EL62,Elec_Transmission,2050,0.5715
EL62,EL54,Elec_Transmission,2023,0.45
EL62,EL54,Elec_Transmission,2025,0.459
EL62,EL54,Elec_Transmission,2030,0.4815
EL62,EL54,Elec_Transmission,2035,0.504
EL62,EL54,Elec_Transmission,2040,0.5265
EL62,EL54,Elec_Transmission,2045,0.549
EL62,EL54,Elec_Transmission,2050,0.5715
EL54,EL63,Elec_Transmission,2023,0.5
EL54,EL63,Elec_Transmission,2025,0.51
EL54,EL63,Elec_Transmission,2030,0.535
EL54,EL63,Elec_Transmission,2035,0.56
EL54,EL63,Elec_Transmission,2040,0.585
EL54,EL63,Elec_Transmission,2045,0.61
EL54,EL63,Elec_Transmission,2050,0.635
EL63,EL54,Elec_Transmission,2023,0.5
EL63,EL54,Elec_Transmission,2025,0.51
EL63,EL54,Elec_Transmission,2030,0.535
EL63,EL54,Elec_Transmission,2035,0.56
EL63,EL54,Elec_Transmission,2040,0.585
EL63,EL54,Elec_Transmission,2045,0.61
EL63,EL54,Elec_Transmission,2050,0.635
EL63,EL62,Elec_Transmission,2023,0.15
EL63,EL62,Elec_Transmission,2025,0.153
EL63,EL62,Elec_Transmission,2030,0.1605
EL63,EL62,Elec_Transmission,2035,0.168
EL63,EL62,Elec_Transmission,2040,0.1755
EL63,EL62,Elec_Transmission,2045,0.183
EL63,EL62,Elec_Transmission,2050,0.1905
EL62,EL63,Elec_Transmission,2023,0.15
EL62,EL63,Elec_Transmission,2025,0.153
EL62,EL63,Elec_Transmission,2030,0.1605
EL62,EL63,Elec_Transmission,2035,0.168
EL62,EL63,Elec_Transmission,2040,0.1755
EL62,EL63,Elec_Transmission,2045,0.183
EL62,EL63,Elec_Transmission,2050,0.1905
EL63,EL64,Elec_Transmission,2023,1.2
EL63,EL64,Elec_Transmission,2025,1.224
EL63,EL64,Elec_Transmission,2030,1.284
EL63,EL64,Elec_Transmission,2035,1.344
EL63,EL64,Elec_Transmission,2040,1.404
EL63,EL64,Elec_Transmission,2045,1.464
EL63,EL64,Elec_Transmission,2050,1.524
EL64,EL63,Elec_Transmission,2023,1.2
EL64,EL63,Elec_Transmission,2025,1.224
EL64,EL63,Elec_Transmission,2030,1.284
EL64,EL63,Elec_Transmission,2035,1.344
EL64,EL63,Elec_Transmission,2040,1.404
EL64,EL63,Elec_Transmission,2045,1.464
EL64,EL63,Elec_Transmission,2050,1.524
EL63,EL65,Elec_Transmission,2023,1.2
EL63,EL65,Elec_Transmission,2025,1.224
EL63,EL65,Elec_Transmission,2030,1.284
EL63,EL65,Elec_Transmission,2035,1.344
EL63,EL65,Elec_Transmission,2040,1.404
EL63,EL65,Elec_Transmission,2045,1.464
EL63,EL65,Elec_Transmission,2050,1.524
EL65,EL63,Elec_Transmission,2023,1.2
EL65,EL63,Elec_Transmission,2025,1.224
EL65,EL63,Elec_Transmission,2030,1.284
EL65,EL63,Elec_Transmission,2035,1.344
EL65,EL63,Elec_Transmission,2040,1.404
EL65,EL63,Elec_Transmission,2045,1.464
EL65,EL63,Elec_Transmission,2050,1.524
EL64,EL30,Elec_Transmission,2023,4.8
EL64,EL30,Elec_Transmission,2025,4.896
EL64,EL30,Elec_Transmission,2030,5.136
EL64,EL30,Elec_Transmission,2035,5.376
EL64,EL30,Elec_Transmission,2040,5.616
EL64,EL30,Elec_Transmission,2045,5.856
EL64,EL30,Elec_Transmission,2050,6.096
EL30,EL64,Elec_Transmission,2023,4.8
EL30,EL64,Elec_Transmission,2025,4.896
EL30,EL64,Elec_Transmission,2030,5.136
EL30,EL64,Elec_Transmission,2035,5.376
EL30,EL64,Elec_Transmission,2040,5.616
EL30,EL64,Elec_Transmission,2045,5.856
EL30,EL64,Elec_Transmission,2050,6.096
EL65,EL30,Elec_Transmission,2023,1.2
EL65,EL30,Elec_Transmission,2025,1.224
EL65,EL30,Elec_Transmission,2030,1.284
EL65,EL30,Elec_Transmission,2035,1.344
EL65,EL30,Elec_Transmission,2040,1.404
EL65,EL30,Elec_Transmission,2045,1.464
EL65,EL30,Elec_Transmission,2050,1.524
EL30,EL65,Elec_Transmission,2023,1.2
EL30,EL65,Elec_Transmission,2025,1.224
EL30,EL65,Elec_Transmission,2030,1.284
EL30,EL65,Elec_Transmission,2035,1.344
EL30,EL65,Elec_Transmission,2040,1.404
EL30,EL65,Elec_Transmission,2045,1.464
EL30,EL65,Elec_Transmission,2050,1.524
EL65,Crete,Elec_Transmission,2023,0
EL65,Crete,Elec_Transmission,2025,0.18
EL65,Crete,Elec_Transmission,2030,0.18
EL65,Crete,Elec_Transmission,2035,0.18
EL65,Crete,Elec_Transmission,2040,0.18
EL65,Crete,Elec_Transmission,2045,0.18
EL65,Crete,Elec_Transmission,2050,0.18
Crete,EL65,Elec_Transmission,2023,0
Crete,EL65,Elec_Transmission,2025,0.18
Crete,EL65,Elec_Transmission,2030,0.18
Crete,EL65,Elec_Transmission,2035,0.18
Crete,EL65,Elec_Transmission,2040,0.18
Crete,EL65,Elec_Transmission,2045,0.18
Crete,EL65,Elec_Transmission,2050,0.18
EL30,Crete,Elec_Transmission,2023,0
EL30,Crete,Elec_Transmission,2025,0
EL30,Crete,Elec_Transmission,2030,1
EL30,Crete,Elec_Transmission,2035,1
EL30,Crete,Elec_Transmission,2040,1
EL30,Crete,Elec_Transmission,2045,1
EL30,Crete,Elec_Transmission,2050,1
Crete,EL30,Elec_Transmission,2023,0
Crete,EL30,Elec_Transmission,2025,0
Crete,EL30,Elec_Transmission,2030,1
Crete,EL30,Elec_Transmission,2035,1
Crete,EL30,Elec_Transmission,2040,1
Crete,EL30,Elec_Transmission,2045,1
Crete,EL30,Elec_Transmission,2050,1
EL51,LEMNOS,Elec_Transmission,2023,0
EL51,LEMNOS,Elec_Transmission,2025,0
EL51,LEMNOS,Elec_Transmission,2030,0
EL51,LEMNOS,Elec_Transmission,2035,0.24
EL51,LEMNOS,Elec_Transmission,2040,0.24
EL51,LEMNOS,Elec_Transmission,2045,0.24
EL51,LEMNOS,Elec_Transmission,2050,0.24
LEMNOS,EL51,Elec_Transmission,2023,0
LEMNOS,EL51,Elec_Transmission,2025,0
LEMNOS,EL51,Elec_Transmission,2030,0
LEMNOS,EL51,Elec_Transmission,2035,0.24
LEMNOS,EL51,Elec_Transmission,2040,0.24
LEMNOS,EL51,Elec_Transmission,2045,0.24
LEMNOS,EL51,Elec_Transmission,2050,0.24
LEMNOS,LESVOS,Elec_Transmission,2023,0
LEMNOS,LESVOS,Elec_Transmission,2025,0
LEMNOS,LESVOS,Elec_Transmission,2030,0
LEMNOS,LESVOS,Elec_Transmission,2035,0.24
LEMNOS,LESVOS,Elec_Transmission,2040,0.24
LEMNOS,LESVOS,Elec_Transmission,2045,0.24
LEMNOS,LESVOS,Elec_Transmission,2050,0.24
LESVOS,LEMNOS,Elec_Transmission,2023,0
LESVOS,LEMNOS,Elec_Transmission,2025,0
LESVOS,LEMNOS,Elec_Transmission,2030,0
LESVOS,LEMNOS,Elec_Transmission,2035,0.24
LESVOS,LEMNOS,Elec_Transmission,2040,0.24
LESVOS,LEMNOS,Elec_Transmission,2045,0.24
LESVOS,LEMNOS,Elec_Transmission,2050,0.24
EL64,SKYROS,Elec_Transmission,2023,0
EL64,SKYROS,Elec_Transmission,2025,0
EL64,SKYROS,Elec_Transmission,2030,0
EL64,SKYROS,Elec_Transmission,2035,0.24
EL64,SKYROS,Elec_Transmission,2040,0.24
EL64,SKYROS,Elec_Transmission,2045,0.24
EL64,SKYROS,Elec_Transmission,2050,0.24
SKYROS,EL64,Elec_Transmission,2023,0
SKYROS,EL64,Elec_Transmission,2025,0
SKYROS,EL64,Elec_Transmission,2030,0
SKYROS,EL64,Elec_Transmission,2035,0.24
SKYROS,EL64,Elec_Transmission,2040,0.24
SKYROS,EL64,Elec_Transmission,2045,0.24
SKYROS,EL64,Elec_Transmission,2050,0.24
SKYROS,LESVOS,Elec_Transmission,2023,0
SKYROS,LESVOS,Elec_Transmission,2025,0
SKYROS,LESVOS,Elec_Transmission,2030,0
SKYROS,LESVOS,Elec_Transmission,2035,0.24
SKYROS,LESVOS,Elec_Transmission,2040,0.24
SKYROS,LESVOS,Elec_Transmission,2045,0.24
SKYROS,LESVOS,Elec_Transmission,2050,0.24
LESVOS,SKYROS,Elec_Transmission,2023,0
LESVOS,SKYROS,Elec_Transmission,2025,0
LESVOS,SKYROS,Elec_Transmission,2030,0
LESVOS,SKYROS,Elec_Transmission,2035,0.24
LESVOS,SKYROS,Elec_Transmission,2040,0.24
LESVOS,SKYROS,Elec_Transmission,2045,0.24
LESVOS,SKYROS,Elec_Transmission,2050,0.24
LESVOS,CHIOS,Elec_Transmission,2023,0
LESVOS,CHIOS,Elec_Transmission,2025,0
LESVOS,CHIOS,Elec_Transmission,2030,0
LESVOS,CHIOS,Elec_Transmission,2035,0.24
LESVOS,CHIOS,Elec_Transmission,2040,0.24
LESVOS,CHIOS,Elec_Transmission,2045,0.24
LESVOS,CHIOS,Elec_Transmission,2050,0.24
CHIOS,LESVOS,Elec_Transmission,2023,0
CHIOS,LESVOS,Elec_Transmission,2025,0
CHIOS,LESVOS,Elec_Transmission,2030,0
CHIOS,LESVOS,Elec_Transmission,2035,0.24
CHIOS,LESVOS,Elec_Transmission,2040,0.24
CHIOS,LESVOS,Elec_Transmission,2045,0.24
CHIOS,LESVOS,Elec_Transmission,2050,0.24
CHIOS,SAMOS,Elec_Transmission,2023,0
CHIOS,SAMOS,Elec_Transmission,2025,0
CHIOS,SAMOS,Elec_Transmission,2030,0
CHIOS,SAMOS,Elec_Transmission,2035,0.24
CHIOS,SAMOS,Elec_Transmission,2040,0.24
CHIOS,SAMOS,Elec_Transmission,2045,0.24
CHIOS,SAMOS,Elec_Transmission,2050,0.24
SAMOS,CHIOS,Elec_Transmission,2023,0
SAMOS,CHIOS,Elec_Transmission,2025,0
SAMOS,CHIOS,Elec_Transmission,2030,0
SAMOS,CHIOS,Elec_Transmission,2035,0.24
SAMOS,CHIOS,Elec_Transmission,2040,0.24
SAMOS,CHIOS,Elec_Transmission,2045,0.24
SAMOS,CHIOS,Elec_Transmission,2050,0.24
SAMOS,KOS,Elec_Transmission,2023,0
SAMOS,KOS,Elec_Transmission,2025,0
SAMOS,KOS,Elec_Transmission,2030,0
SAMOS,KOS,Elec_Transmission,2035,0.24
SAMOS,KOS,Elec_Transmission,2040,0.24
SAMOS,KOS,Elec_Transmission,2045,0.24
SAMOS,KOS,Elec_Transmission,2050,0.24
KOS,SAMOS,Elec_Transmission,2023,0
KOS,SAMOS,Elec_Transmission,2025,0
KOS,SAMOS,Elec_Transmission,2030,0
KOS,SAMOS,Elec_Transmission,2035,0.24
KOS,SAMOS,Elec_Transmission,2040,0.24
KOS,SAMOS,Elec_Transmission,2045,0.24
KOS,SAMOS,Elec_Transmission,2050,0.24
KOS,RODOS,Elec_Transmission,2023,0
KOS,RODOS,Elec_Transmission,2025,0
KOS,RODOS,Elec_Transmission,2030,0
KOS,RODOS,Elec_Transmission,2035,0.72
KOS,RODOS,Elec_Transmission,2040,0.72
KOS,RODOS,Elec_Transmission,2045,0.72
KOS,RODOS,Elec_Transmission,2050,0.72
RODOS,KOS,Elec_Transmission,2023,0
RODOS,KOS,Elec_Transmission,2025,0
RODOS,KOS,Elec_Transmission,2030,0
RODOS,KOS,Elec_Transmission,2035,0.72
RODOS,KOS,Elec_Transmission,2040,0.72
RODOS,KOS,Elec_Transmission,2045,0.72
RODOS,KOS,Elec_Transmission,2050,0.72
RODOS,KARPATHOS,Elec_Transmission,2023,0
RODOS,KARPATHOS,Elec_Transmission,2025,0
RODOS,KARPATHOS,Elec_Transmission,2030,0
RODOS,KARPATHOS,Elec_Transmission,2035,0.195
RODOS,KARPATHOS,Elec_Transmission,2040,0.195
RODOS,KARPATHOS,Elec_Transmission,2045,0.195
RODOS,KARPATHOS,Elec_Transmission,2050,0.195
KARPATHOS,RODOS,Elec_Transmission,2023,0
KARPATHOS,RODOS,Elec_Transmission,2025,0
KARPATHOS,RODOS,Elec_Transmission,2030,0
KARPATHOS,RODOS,Elec_Transmission,2035,0.195
KARPATHOS,RODOS,Elec_Transmission,2040,0.195
KARPATHOS,RODOS,Elec_Transmission,2045,0.195
KARPATHOS,RODOS,Elec_Transmission,2050,0.195
EL65,KOS,Elec_Transmission,2023,0
EL65,KOS,Elec_Transmission,2025,0
EL65,KOS,Elec_Transmission,2030,0
EL65,KOS,Elec_Transmission,2035,1
EL65,KOS,Elec_Transmission,2040,1
EL65,KOS,Elec_Transmission,2045,1
EL65,KOS,Elec_Transmission,2050,1
KOS,EL65,Elec_Transmission,2023,0
KOS,EL65,Elec_Transmission,2025,0
KOS,EL65,Elec_Transmission,2030,0
KOS,EL65,Elec_Transmission,2035,1
KOS,EL65,Elec_Transmission,2040,1
KOS,EL65,Elec_Transmission,2045,1
KOS,EL65,Elec_Transmission,2050,1
EL64,SERIFOS,Elec_Transmission,2023,0
EL64,SERIFOS,Elec_Transmission,2025,0
EL64,SERIFOS,Elec_Transmission,2030,0.15
EL64,SERIFOS,Elec_Transmission,2035,0.15
EL64,SERIFOS,Elec_Transmission,2040,0.15
EL64,SERIFOS,Elec_Transmission,2045,0.15
EL64,SERIFOS,Elec_Transmission,2050,0.15
SERIFOS,EL64,Elec_Transmission,2023,0
SERIFOS,EL64,Elec_Transmission,2025,0
SERIFOS,EL64,Elec_Transmission,2030,0.15
SERIFOS,EL64,Elec_Transmission,2035,0.15
SERIFOS,EL64,Elec_Transmission,2040,0.15
SERIFOS,EL64,Elec_Transmission,2045,0.15
SERIFOS,EL64,Elec_Transmission,2050,0.15
EL64,THIRA,Elec_Transmission,2023,0
EL64,THIRA,Elec_Transmission,2025,0
EL64,THIRA,Elec_Transmission,2030,0.15
EL64,THIRA,Elec_Transmission,2035,0.15
EL64,THIRA,Elec_Transmission,2040,0.15
EL64,THIRA,Elec_Transmission,2045,0.15
EL64,THIRA,Elec_Transmission,2050,0.15
THIRA,EL64,Elec_Transmission,2023,0
THIRA,EL64,Elec_Transmission,2025,0
THIRA,EL64,Elec_Transmission,2030,0.15
THIRA,EL64,Elec_Transmission,2035,0.15
THIRA,EL64,Elec_Transmission,2040,0.15
THIRA,EL64,Elec_Transmission,2045,0.15
THIRA,EL64,Elec_Transmission,2050,0.15
